Country,Year,Pop,Decade,GDP,Life_Expectancy,Region
Netherlands,1800,2254522,1800,4235,39.86,Europe & Central Asia
Netherlands Antilles,1800,NA,1800,NA,34.408,America
New Caledonia,1800,29432,1800,NA,26,East Asia & Pacific
New Zealand,1800,1e+05,1800,658,34.05,East Asia & Pacific
Ngorno-Karabakh,1800,NA,1800,NA,NA,Europe & Central Asia
Nicaragua,1800,219387,1800,973,25.4,America
Niger,1800,1244861,1800,446,30.8,Sub-Saharan Africa
Nigeria,1800,12100855,1800,851,30.4,Sub-Saharan Africa
Niue,1800,4538,1800,NA,NA,East Asia & Pacific
Norfolk Island,1800,NA,1800,NA,NA,East Asia & Pacific
Northern Cyprus,1800,NA,1800,NA,NA,Europe & Central Asia
Northern Mariana Islands,1800,3360,1800,NA,NA,East Asia & Pacific
Norway,1800,868570,1800,1278,37.9162089880228,Europe & Central Asia
Oman,1800,318000,1800,915,32.3,Middle East & North Africa
Pakistan,1800,13123633,1800,1021,25.8,South Asia
Palau,1800,3875,1800,839,NA,East Asia & Pacific
Panama,1800,78842,1800,847,32.9,America
Papua New Guinea,1800,754894,1800,546,31.5,East Asia & Pacific
Paraguay,1800,143000,1800,835,35.5,America
Peru,1800,1314151,1800,1204,35.7,America
Philippines,1800,1894389,1800,962,30.9,East Asia & Pacific
Pitcairn,1800,NA,1800,NA,NA,East Asia & Pacific
Poland,1800,9508747,1800,1213,35.9,Europe & Central Asia
Portugal,1800,3033454,1800,1685,35.6,Europe & Central Asia
Puerto Rico,1800,155000,1800,1375,30.43,America
Qatar,1800,14092,1800,1097,30.8,Middle East & North Africa
Reunion,1800,92744,1800,NA,33,Sub-Saharan Africa
Romania,1800,5464085,1800,815,35.7,Europe & Central Asia
Russia,1800,31088398,1800,1430,29.5734571976521,Europe & Central Asia
Rwanda,1800,928368,1800,431,31.8,Sub-Saharan Africa
St. Barthélemy,1800,NA,1800,NA,NA,NA
St. Helena,1800,1997,1800,NA,NA,NA
St. Kitts and Nevis,1800,17202,1800,1164,NA,NA
St. Lucia,1800,24000,1800,874,28.008,NA
St. Martin,1800,NA,1800,NA,NA,NA
St. Vincent and the Grenadines,1800,25781,1800,838,25.986,NA
St.-Pierre-et-Miquelon,1800,1782,1800,NA,NA,NA
Samoa,1800,47300,1800,1400,25.4,East Asia & Pacific
San Marino,1800,5492,1800,1401,NA,Europe & Central Asia
Sao Tome and Principe,1800,22731,1800,850,31,Sub-Saharan Africa
Saudi Arabia,1800,2091000,1800,846,32.1,Middle East & North Africa
Senegal,1800,1009886,1800,497,25.2,Sub-Saharan Africa
Serbia,1800,2147197,1800,1358,35.5,Europe & Central Asia
Serbia and Montenegro,1800,NA,1800,NA,NA,Europe & Central Asia
Serbia excluding Kosovo,1800,NA,1800,NA,NA,Europe & Central Asia
Seychelles,1800,12522,1800,792,37,Sub-Saharan Africa
Sierra Leone,1800,794264,1800,734,25.1,Sub-Saharan Africa
Singapore,1800,30000,1800,1021,29.1,East Asia & Pacific
Slovak Republic,1800,2140651,1800,1427,36.4,Europe & Central Asia
Slovenia,1800,469664,1800,1409,36.6,Europe & Central Asia
Solomon Islands,1800,56998,1800,363,25.1,East Asia & Pacific
Somalia,1800,991488,1800,694,29.4,Sub-Saharan Africa
Somaliland,1800,NA,1800,NA,NA,Sub-Saharan Africa
South Africa,1800,1440820,1800,1480,33.5,Sub-Saharan Africa
South Ossetia,1800,NA,1800,NA,NA,Europe & Central Asia
Spain,1800,11549294,1800,1518,29.5,Europe & Central Asia
Sri Lanka,1800,1213000,1800,898,32.6,South Asia
Sudan,1800,3994154,1800,518,31.4,Sub-Saharan Africa
Suriname,1800,80721,1800,1636,32.9,America
Svalbard,1800,NA,1800,NA,NA,Europe & Central Asia
Swaziland,1800,86000,1800,490,32.3,Sub-Saharan Africa
Sweden,1800,2354189,1800,1414,32.16,Europe & Central Asia
Switzerland,1800,1826051,1800,2701,38,Europe & Central Asia
Syria,1800,1337000,1800,1081,31.1,Middle East & North Africa
Taiwan,1800,NA,1800,996,28.3,East Asia & Pacific
Tajikistan,1800,466629,1800,556,24.235,Europe & Central Asia
Tanzania,1800,3019768,1800,562,32.2,Sub-Saharan Africa
Thailand,1800,4665000,1800,931,30.4,East Asia & Pacific
Timor-Leste,1800,137262,1800,521,28.949,East Asia & Pacific
Togo,1800,445985,1800,682,31.3,Sub-Saharan Africa
Tokelau,1800,1009,1800,NA,NA,East Asia & Pacific
Tonga,1800,18658,1800,663,28.2,East Asia & Pacific
Transnistria,1800,NA,1800,NA,NA,Europe & Central Asia
Trinidad and Tobago,1800,60000,1800,1230,32.9,America
Tunisia,1800,862029,1800,716,28.8,Middle East & North Africa
Turkey,1800,9773456,1800,1221,35,Europe & Central Asia
Turkmenistan,1800,367215,1800,943,24,Europe & Central Asia
Turks and Caicos Islands,1800,3296,1800,487,NA,America
Tuvalu,1800,2499,1800,719,NA,East Asia & Pacific
Uganda,1800,2101397,1800,464,25.3,Sub-Saharan Africa
Ukraine,1800,11215490,1800,763,36.6,Europe & Central Asia
United Arab Emirates,1800,40153,1800,998,30.7,Middle East & North Africa
United Kingdom,1800,12327466,1800,3431,38.6497602996604,Europe & Central Asia
United States,1800,6801854,1800,2128,39.41,America
Uruguay,1800,55000,1800,1758,32.9,America
USSR,1800,NA,1800,NA,NA,Europe & Central Asia
Uzbekistan,1800,1919159,1800,502,26.926,Europe & Central Asia
Wallis et Futuna,1800,3721,1800,NA,NA,East Asia & Pacific
Vanuatu,1800,27791,1800,585,24.3,East Asia & Pacific
Venezuela,1800,718000,1800,682,32.2,America
West Bank and Gaza,1800,165944,1800,1220,32.1,Middle East & North Africa
West Germany,1800,NA,1800,NA,NA,Europe & Central Asia
Western Sahara,1800,2788,1800,NA,34.753,Middle East & North Africa
Vietnam,1800,6551000,1800,861,32,East Asia & Pacific
Virgin Islands (U.S.),1800,40000,1800,NA,33.403,America
